source_index,pair_index,noise_condition,preprocess_config,original_cues,original_cue_count,retained_cues,retained_cue_count,all_original_cues_retained,any_original_cue_retained
31276,0,clean,none,you_should,1,you_should,1,True,True
31276,0,clean,minimal,you_should,1,you_should,1,True,True
31276,0,clean,noise_aware,you_should,1,you_should,1,True,True
31276,0,clean,aggressive,you_should,1,,0,False,False
31276,0,casing,none,you_should,1,you_should,1,True,True
31276,0,casing,minimal,you_should,1,you_should,1,True,True
31276,0,casing,noise_aware,you_should,1,you_should,1,True,True
31276,0,casing,aggressive,you_should,1,,0,False,False
31276,0,punctuation,none,you_should,1,you_should,1,True,True
31276,0,punctuation,minimal,you_should,1,you_should,1,True,True
31276,0,punctuation,noise_aware,you_should,1,you_should,1,True,True
31276,0,punctuation,aggressive,you_should,1,,0,False,False
31276,0,whitespace,none,you_should,1,you_should,1,True,True
31276,0,whitespace,minimal,you_should,1,you_should,1,True,True
31276,0,whitespace,noise_aware,you_should,1,you_should,1,True,True
31276,0,whitespace,aggressive,you_should,1,,0,False,False
31276,0,typo,none,you_should,1,you_should,1,True,True
31276,0,typo,minimal,you_should,1,you_should,1,True,True
31276,0,typo,noise_aware,you_should,1,you_should,1,True,True
31276,0,typo,aggressive,you_should,1,,0,False,False
31276,0,word_deletion,none,you_should,1,you_should,1,True,True
31276,0,word_deletion,minimal,you_should,1,you_should,1,True,True
31276,0,word_deletion,noise_aware,you_should,1,you_should,1,True,True
31276,0,word_deletion,aggressive,you_should,1,,0,False,False
31276,0,filler,none,you_should,1,you_should,1,True,True
31276,0,filler,minimal,you_should,1,you_should,1,True,True
31276,0,filler,noise_aware,you_should,1,you_should,1,True,True
31276,0,filler,aggressive,you_should,1,,0,False,False
31276,0,mixed,none,you_should,1,you_should,1,True,True
31276,0,mixed,minimal,you_should,1,you_should,1,True,True
31276,0,mixed,noise_aware,you_should,1,you_should,1,True,True
31276,0,mixed,aggressive,you_should,1,,0,False,False
43461,4,clean,none,,0,,0,False,False
43461,4,clean,minimal,,0,,0,False,False
43461,4,clean,noise_aware,,0,,0,False,False
43461,4,clean,aggressive,,0,,0,False,False
43461,4,casing,none,,0,,0,False,False
43461,4,casing,minimal,,0,,0,False,False
43461,4,casing,noise_aware,,0,,0,False,False
43461,4,casing,aggressive,,0,,0,False,False
43461,4,punctuation,none,,0,,0,False,False
43461,4,punctuation,minimal,,0,,0,False,False
43461,4,punctuation,noise_aware,,0,,0,False,False
43461,4,punctuation,aggressive,,0,,0,False,False
43461,4,whitespace,none,,0,,0,False,False
43461,4,whitespace,minimal,,0,,0,False,False
43461,4,whitespace,noise_aware,,0,,0,False,False
43461,4,whitespace,aggressive,,0,,0,False,False
43461,4,typo,none,,0,,0,False,False
43461,4,typo,minimal,,0,,0,False,False
43461,4,typo,noise_aware,,0,,0,False,False
43461,4,typo,aggressive,,0,,0,False,False
43461,4,word_deletion,none,,0,,0,False,False
43461,4,word_deletion,minimal,,0,,0,False,False
43461,4,word_deletion,noise_aware,,0,,0,False,False
43461,4,word_deletion,aggressive,,0,,0,False,False
43461,4,filler,none,,0,,0,False,False
43461,4,filler,minimal,,0,,0,False,False
43461,4,filler,noise_aware,,0,,0,False,False
43461,4,filler,aggressive,,0,,0,False,False
43461,4,mixed,none,,0,,0,False,False
43461,4,mixed,minimal,,0,,0,False,False
43461,4,mixed,noise_aware,,0,,0,False,False
43461,4,mixed,aggressive,,0,,0,False,False
58105,0,clean,none,you_must,1,you_must,1,True,True
58105,0,clean,minimal,you_must,1,you_must,1,True,True
58105,0,clean,noise_aware,you_must,1,you_must,1,True,True
58105,0,clean,aggressive,you_must,1,,0,False,False
58105,0,casing,none,you_must,1,you_must,1,True,True
58105,0,casing,minimal,you_must,1,you_must,1,True,True
58105,0,casing,noise_aware,you_must,1,you_must,1,True,True
58105,0,casing,aggressive,you_must,1,,0,False,False
58105,0,punctuation,none,you_must,1,you_must,1,True,True
58105,0,punctuation,minimal,you_must,1,you_must,1,True,True
58105,0,punctuation,noise_aware,you_must,1,you_must,1,True,True
58105,0,punctuation,aggressive,you_must,1,,0,False,False
58105,0,whitespace,none,you_must,1,you_must,1,True,True
58105,0,whitespace,minimal,you_must,1,you_must,1,True,True
58105,0,whitespace,noise_aware,you_must,1,you_must,1,True,True
58105,0,whitespace,aggressive,you_must,1,,0,False,False
58105,0,typo,none,you_must,1,you_must,1,True,True
58105,0,typo,minimal,you_must,1,you_must,1,True,True
58105,0,typo,noise_aware,you_must,1,you_must,1,True,True
58105,0,typo,aggressive,you_must,1,,0,False,False
58105,0,word_deletion,none,you_must,1,you_must,1,True,True
58105,0,word_deletion,minimal,you_must,1,you_must,1,True,True
58105,0,word_deletion,noise_aware,you_must,1,you_must,1,True,True
58105,0,word_deletion,aggressive,you_must,1,,0,False,False
58105,0,filler,none,you_must,1,you_must,1,True,True
58105,0,filler,minimal,you_must,1,you_must,1,True,True
58105,0,filler,noise_aware,you_must,1,you_must,1,True,True
58105,0,filler,aggressive,you_must,1,,0,False,False
58105,0,mixed,none,you_must,1,you_must,1,True,True
58105,0,mixed,minimal,you_must,1,you_must,1,True,True
58105,0,mixed,noise_aware,you_must,1,you_must,1,True,True
58105,0,mixed,aggressive,you_must,1,,0,False,False
79032,0,clean,none,you_should,1,you_should,1,True,True
79032,0,clean,minimal,you_should,1,you_should,1,True,True
79032,0,clean,noise_aware,you_should,1,you_should,1,True,True
79032,0,clean,aggressive,you_should,1,,0,False,False
79032,0,casing,none,you_should,1,you_should,1,True,True
79032,0,casing,minimal,you_should,1,you_should,1,True,True
79032,0,casing,noise_aware,you_should,1,you_should,1,True,True
79032,0,casing,aggressive,you_should,1,,0,False,False
79032,0,punctuation,none,you_should,1,you_should,1,True,True
79032,0,punctuation,minimal,you_should,1,you_should,1,True,True
79032,0,punctuation,noise_aware,you_should,1,you_should,1,True,True
79032,0,punctuation,aggressive,you_should,1,,0,False,False
79032,0,whitespace,none,you_should,1,you_should,1,True,True
79032,0,whitespace,minimal,you_should,1,you_should,1,True,True
79032,0,whitespace,noise_aware,you_should,1,you_should,1,True,True
79032,0,whitespace,aggressive,you_should,1,,0,False,False
79032,0,typo,none,you_should,1,you_should,1,True,True
79032,0,typo,minimal,you_should,1,you_should,1,True,True
79032,0,typo,noise_aware,you_should,1,you_should,1,True,True
79032,0,typo,aggressive,you_should,1,,0,False,False
79032,0,word_deletion,none,you_should,1,you_should,1,True,True
79032,0,word_deletion,minimal,you_should,1,you_should,1,True,True
79032,0,word_deletion,noise_aware,you_should,1,you_should,1,True,True
79032,0,word_deletion,aggressive,you_should,1,,0,False,False
79032,0,filler,none,you_should,1,you_should,1,True,True
79032,0,filler,minimal,you_should,1,you_should,1,True,True
79032,0,filler,noise_aware,you_should,1,you_should,1,True,True
79032,0,filler,aggressive,you_should,1,,0,False,False
79032,0,mixed,none,you_should,1,you_should,1,True,True
79032,0,mixed,minimal,you_should,1,you_should,1,True,True
79032,0,mixed,noise_aware,you_should,1,you_should,1,True,True
79032,0,mixed,aggressive,you_should,1,,0,False,False
135823,0,clean,none,you_should,1,you_should,1,True,True
135823,0,clean,minimal,you_should,1,you_should,1,True,True
135823,0,clean,noise_aware,you_should,1,you_should,1,True,True
135823,0,clean,aggressive,you_should,1,,0,False,False
135823,0,casing,none,you_should,1,you_should,1,True,True
135823,0,casing,minimal,you_should,1,you_should,1,True,True
135823,0,casing,noise_aware,you_should,1,you_should,1,True,True
135823,0,casing,aggressive,you_should,1,,0,False,False
135823,0,punctuation,none,you_should,1,you_should,1,True,True
135823,0,punctuation,minimal,you_should,1,you_should,1,True,True
135823,0,punctuation,noise_aware,you_should,1,you_should,1,True,True
135823,0,punctuation,aggressive,you_should,1,,0,False,False
135823,0,whitespace,none,you_should,1,you_should,1,True,True
135823,0,whitespace,minimal,you_should,1,you_should,1,True,True
135823,0,whitespace,noise_aware,you_should,1,you_should,1,True,True
135823,0,whitespace,aggressive,you_should,1,,0,False,False
135823,0,typo,none,you_should,1,you_should,1,True,True
135823,0,typo,minimal,you_should,1,you_should,1,True,True
135823,0,typo,noise_aware,you_should,1,you_should,1,True,True
135823,0,typo,aggressive,you_should,1,,0,False,False
135823,0,word_deletion,none,you_should,1,you_should,1,True,True
135823,0,word_deletion,minimal,you_should,1,you_should,1,True,True
135823,0,word_deletion,noise_aware,you_should,1,you_should,1,True,True
135823,0,word_deletion,aggressive,you_should,1,,0,False,False
135823,0,filler,none,you_should,1,you_should,1,True,True
135823,0,filler,minimal,you_should,1,you_should,1,True,True
135823,0,filler,noise_aware,you_should,1,you_should,1,True,True
135823,0,filler,aggressive,you_should,1,,0,False,False
135823,0,mixed,none,you_should,1,you_should,1,True,True
135823,0,mixed,minimal,you_should,1,you_should,1,True,True
135823,0,mixed,noise_aware,you_should,1,you_should,1,True,True
135823,0,mixed,aggressive,you_should,1,,0,False,False
138363,2,clean,none,you_should,1,you_should,1,True,True
138363,2,clean,minimal,you_should,1,you_should,1,True,True
138363,2,clean,noise_aware,you_should,1,you_should,1,True,True
138363,2,clean,aggressive,you_should,1,,0,False,False
138363,2,casing,none,you_should,1,you_should,1,True,True
138363,2,casing,minimal,you_should,1,you_should,1,True,True
138363,2,casing,noise_aware,you_should,1,you_should,1,True,True
138363,2,casing,aggressive,you_should,1,,0,False,False
138363,2,punctuation,none,you_should,1,you_should,1,True,True
138363,2,punctuation,minimal,you_should,1,you_should,1,True,True
138363,2,punctuation,noise_aware,you_should,1,you_should,1,True,True
138363,2,punctuation,aggressive,you_should,1,,0,False,False
138363,2,whitespace,none,you_should,1,you_should,1,True,True
138363,2,whitespace,minimal,you_should,1,you_should,1,True,True
138363,2,whitespace,noise_aware,you_should,1,you_should,1,True,True
138363,2,whitespace,aggressive,you_should,1,,0,False,False
138363,2,typo,none,you_should,1,you_should,1,True,True
138363,2,typo,minimal,you_should,1,you_should,1,True,True
138363,2,typo,noise_aware,you_should,1,you_should,1,True,True
138363,2,typo,aggressive,you_should,1,,0,False,False
138363,2,word_deletion,none,you_should,1,you_should,1,True,True
138363,2,word_deletion,minimal,you_should,1,you_should,1,True,True
138363,2,word_deletion,noise_aware,you_should,1,you_should,1,True,True
138363,2,word_deletion,aggressive,you_should,1,,0,False,False
138363,2,filler,none,you_should,1,you_should,1,True,True
138363,2,filler,minimal,you_should,1,you_should,1,True,True
138363,2,filler,noise_aware,you_should,1,you_should,1,True,True
138363,2,filler,aggressive,you_should,1,,0,False,False
138363,2,mixed,none,you_should,1,you_should,1,True,True
138363,2,mixed,minimal,you_should,1,you_should,1,True,True
138363,2,mixed,noise_aware,you_should,1,you_should,1,True,True
138363,2,mixed,aggressive,you_should,1,,0,False,False
201136,0,clean,none,you_should,1,you_should,1,True,True
201136,0,clean,minimal,you_should,1,you_should,1,True,True
201136,0,clean,noise_aware,you_should,1,you_should,1,True,True
201136,0,clean,aggressive,you_should,1,,0,False,False
201136,0,casing,none,you_should,1,you_should,1,True,True
201136,0,casing,minimal,you_should,1,you_should,1,True,True
201136,0,casing,noise_aware,you_should,1,you_should,1,True,True
201136,0,casing,aggressive,you_should,1,,0,False,False
201136,0,punctuation,none,you_should,1,you_should,1,True,True
201136,0,punctuation,minimal,you_should,1,you_should,1,True,True
201136,0,punctuation,noise_aware,you_should,1,you_should,1,True,True
201136,0,punctuation,aggressive,you_should,1,,0,False,False
201136,0,whitespace,none,you_should,1,you_should,1,True,True
201136,0,whitespace,minimal,you_should,1,you_should,1,True,True
201136,0,whitespace,noise_aware,you_should,1,you_should,1,True,True
201136,0,whitespace,aggressive,you_should,1,,0,False,False
201136,0,typo,none,you_should,1,you_should,1,True,True
201136,0,typo,minimal,you_should,1,you_should,1,True,True
201136,0,typo,noise_aware,you_should,1,you_should,1,True,True
201136,0,typo,aggressive,you_should,1,,0,False,False
201136,0,word_deletion,none,you_should,1,you_should,1,True,True
201136,0,word_deletion,minimal,you_should,1,you_should,1,True,True
201136,0,word_deletion,noise_aware,you_should,1,you_should,1,True,True
201136,0,word_deletion,aggressive,you_should,1,,0,False,False
201136,0,filler,none,you_should,1,you_should,1,True,True
201136,0,filler,minimal,you_should,1,you_should,1,True,True
201136,0,filler,noise_aware,you_should,1,you_should,1,True,True
201136,0,filler,aggressive,you_should,1,,0,False,False
201136,0,mixed,none,you_should,1,you_should,1,True,True
201136,0,mixed,minimal,you_should,1,you_should,1,True,True
201136,0,mixed,noise_aware,you_should,1,you_should,1,True,True
201136,0,mixed,aggressive,you_should,1,,0,False,False
224561,4,clean,none,,0,,0,False,False
